Date,URL,Title,Source,Country,LABEL,Generated Label,Generated Label (Number)
20240705T003000Z,https://punchng.com/npa-launches-tug-boats-to-boost-ports-operations/,NPA launches tug boats to boost ports operations,punchng.com,Nigeria,11,4,4.0
20240925T121500Z,https://aninews.in/news/business/indias-container-handling-capacity-set-for-a-twofold-increase-in-five-years-sonowal20240925162814/,India Container Handling Capacity Set for a Twofold Increase in Five Years : Sonowal,aninews.in,India,12,4,4.0
20240908T161500Z,https://www.business-standard.com/india-news/new-liner-service-to-connect-jeddah-port-to-india-s-mundra-nhava-sheva-124090800538_1.html,"New liner service to connect Jeddah Port to India Mundra , Nhava Sheva",business-standard.com,India,4,12,12.0
20240724T111500Z,https://www.straitstimes.com/singapore/light-oil-sheens-reported-near-s-pore-flagged-tanker-involved-in-collision-off-pedra-branca-mpa,Oil seeping from Spore - flagged tanker involved in collision near Pedra Branca : Ship operator,straitstimes.com,Singapore,2,8,8.0
20240913T210000Z,https://gcaptain.com/russian-missile-strike-on-civilian-ship-in-black-sea-escalates-maritime-tensions/,Russian Missile Strike on Civilian Ship in Black Sea Escalates Maritime Tensions,gcaptain.com,United States,3,12,12.0
20240811T041500Z,https://menafn.com/1108538652/Maritime-Security-Market-Size-Is-Set-To-Grow-By-USD-362-Billion-From-2024-2028-Growing-Marine-Threats-Boost-The-Market-Technavio,"Maritime Security Market Size Is Set To Grow By USD 3 . 62 Billion From 2024 - 2028 , Growing Marine Threats Boost The Market , Technavio",menafn.com,Qatar,11,3,3.0
20240905T160000Z,https://www.marinelink.com/news/wrtsil-help-singapore-develop-next-516745,WÃ¤rtsilÃ¤ To Help Singapore Develop Next Generation,marinelink.com,United States,13,12,12.0
20240910T131500Z,https://gcaptain.com/fueleu-maritime-ready-for-2025/,FuelEU Maritime ready for 2025 ? ,gcaptain.com,United States,11,8,8.0
20240720T050000Z,https://www.dailymirror.lk/breaking-news/Fire-breaks-out-on-cargo-ship-en-route-to-Colombo-off-Goa/108-287687,Fire breaks out on cargo ship en route to Colombo off Goa - International,dailymirror.lk,Sri Lanka,4,2,2.0
20240830T113000Z,https://www.thehindu.com/news/national/maharashtra/pm-modi-lays-foundation-stone-of-vadhvan-port-in-maharashtras-palghar/article68585143.ece,PM Modi lays foundation stone of Vadhvan Port project in Maharashtra Palghar,thehindu.com,India,11,4,4.0
20240828T204500Z,https://www.marinelink.com/news/red-sea-insurance-nearly-doubles-latest-516459,Red Sea Insurance Nearly Doubles After Latest Ship,marinelink.com,United States,11,6,6.0
20240917T150000Z,https://www.rigzone.com/news/photos_attacked_oil_tanker_towed_to_safe_area-17-sep-2024-178130-article/,PHOTOS : Attacked Oil Tanker Towed to  Safe Area  ,rigzone.com,United States,3,2,2.0
20240905T223000Z,https://www.hellenicshippingnews.com/cargo-integrity-group-applauds-recent-msa-circular-emphasizes-ongoing-commitment-to-supply-chain-safety/,"Cargo Integrity Group Applauds Recent MSA Circular , Emphasizes Ongoing Commitment to Supply Chain Safety",hellenicshippingnews.com,China,12,6,6.0
20240807T183000Z,https://gcaptain.com/anonymised-data-can-drive-shippings-safety-culture-change/,Anonymised DataÂ Can Drive Shipping Â safety Culture Change,gcaptain.com,United States,12,7,7.0
20240904T121500Z,https://www.seatrade-maritime.com/ports-logistics/unlocking-opportunities-with-fmh-co-ltd-,Opportunities,seatrade-maritime.com,China,13,Please provide the news article so I can determine the appropriate category.,
20240717T133000Z,https://www.jacarandafm.com/news/news/largecargovesselstillanchoredalgoa/,Large cargo vessel still anchored in Algoa Bay after losing containers,jacarandafm.com,South Africa,1,6,6.0
20240912T153000Z,https://www.channelnewsasia.com/world/ukraine-says-russia-hit-civilian-grain-vessel-black-sea-4604171,Ukraine says Russia hit civilian grain vessel in Black Sea,channelnewsasia.com,United States,3,2,2.0
20240925T223000Z,https://www.prnewswire.com/news-releases/the-harbor-management-software-market-is-projected-to-grow-by-usd-25-46-million-from-2024-2028--with-ai-impacting-trends-and-rising-cloud-adoption-boosting-growth---technavio-302257140.html,"The harbor management software market is projected to grow by USD 25 . 46 Million from 2024 - 2028 , with AI impacting trends and rising cloud adoption boosting growth",prnewswire.com,United States,11,12,12.0
20240826T120000Z,https://trans.info/en/singapore-iscdi-395762,Singapore tops global ISCDI port rankings yet again,trans.info,,12,4,4.0
20240815T223000Z,https://mfame.guru/lloyds-register-core-power-launch-nuclear-containership-study/,"Lloyd Register , CORE POWER Launch Nuclear Containership Study",mfame.guru,,13,12,12.0
20240806T170000Z,https://allafrica.com/stories/202408060441.html,Tanzania : Tasac Tackles Tanzania - Comoros Maritime Hurdles,allafrica.com,Nigeria,12,4,4.0
20240909T171500Z,https://shipandbunker.com/news/apac/941396-singapores-first-fully-electric-cargo-vessel-starts-commercial-trials,Singapore First Fully Electric Cargo Vessel Starts Commercial Trials,shipandbunker.com,Singapore,12,8,8.0
20240831T131500Z,https://www.moneycontrol.com/news/world/yemens-houthi-rebels-suspected-of-firing-missiles-at-a-container-ship-as-an-oil-tanker-burns-12811340.html,Yemen Houthi rebels suspected of firing missiles at a container ship as an oil tanker burns,moneycontrol.com,India,3,5,5.0
20240711T191500Z,https://www.devdiscourse.com/article/headlines/3013858-irans-seizure-of-chevron-chartered-oil-tanker-sparks-international-tensions,Iran Seizure of Chevron - Chartered Oil Tanker Sparks International Tensions,devdiscourse.com,China,3,10,10.0
20240911T181500Z,https://www.porttechnology.org/news/port-of-oakland-seeking-development-for-howard-property/,Port of Oakland seeking development for Howard Property,porttechnology.org,China,7,4,4.0
20240830T081500Z,https://www.marinelink.com/news/samskip-joins-fuel-cell-retrofit-project-516530,Samskip Joins Fuel Cell Retrofit Project,marinelink.com,United States,13,8,8.0
20240824T200000Z,https://news.yahoo.com/news/fires-board-greek-flagged-tanker-060414887.html,"Fires on board Greek - flagged tanker after Houthi attack in Red Sea , says maritime agency",news.yahoo.com,United States,3,2,2.0
20240824T074500Z,https://us.cnn.com/2024/08/24/middleeast/oil-tanker-fire-red-sea-intl-hnk/,"Sounion : Fires on board Greek - flagged tanker after Houthi attack in Red Sea , says maritime agency",us.cnn.com,United States,13,2,2.0
20240918T190000Z,https://www.globenewswire.com/news-release/2024/09/18/2948557/0/en/Leading-Shipping-Companies-Presenting-at-Capital-Link-s-16th-Annual-New-York-Maritime-Forum-October-15-2024-in-New-York-City.html,Leading Shipping Companies Presenting at Capital Link ,globenewswire.com,United States,12,6,6.0
20240913T161500Z,https://gulfnews.com/your-money/saving-investment/piracys-perilous-impact-navigating-the-economic-storm-as-an-investor-1.1726211510186,Piracy perilous impact : Navigating the economic storm as an investor,gulfnews.com,United Arab Emirates,11,3,3.0
20240913T223000Z,https://www.theepochtimes.com/us/new-report-says-technology-built-into-chinese-made-cargo-cranes-could-be-a-trojan-horse-for-us-seaports-5723937,New Report Says Technology Built Into Chinese - Made Cargo Cranes Could Be a  Trojan Horse  for US Seaports,theepochtimes.com,United States,11,3,3.0
20240825T133000Z,https://leadership.ng/nsml-earns-united-kingdoms-mca-accreditation-for-courses/,NSML Earns United Kingdom MCA Accreditation For Courses,leadership.ng,Nigeria,13,12,12.0
20240709T084500Z,http://thepeninsulaqatar.com/article/09/07/2024/qatar-boosts-maritime-growth-with-new-shipping-event,Qatar boosts maritime growth with new shipping event,thepeninsulaqatar.com,Qatar,12,7,7.0
20240821T211500Z,https://www.devdiscourse.com/article/headlines/3059657-greek-tanker-adrift-after-houthi-attacks,Greek Tanker Adrift After Houthi Attacks,devdiscourse.com,China,3,2,2.0
20240921T141500Z,https://www.yahoo.com/news/vessel-carrying-20-000-tonnes-125300702.html,"Vessel carrying 20 , 000 tonnes of dangerous Russian cargo will sail past Denmark",yahoo.com,United States,4,10,10.0
20240715T163000Z,https://organiser.org/2024/07/15/247308/bharat/indias-port-print-augmenting-vizhinjam-port-to-make-bharat-dominant-player-in-global-maritime-trade/,India  Port  print augmenting : Vizhinjam Port to make Bharat dominant player in global maritime trade,organiser.org,India,4,12,12.0
20240919T094500Z,https://www.domain-b.com/economy/infrastructure/ports/pm-inaugurates-tuticorin-international-container-terminal,PM inaugurates Tuticorin International Container Terminal,domain-b.com,India,4,1,1.0
20240719T121500Z,https://www.newsx.com/world/massive-fires-engulf-two-oil-tankers-near-singapore-prompting-extensive-rescue-operations/,Massive Fires Engulf Two Oil Tankers Near Singapore,newsx.com,India,2,8,8.0
20240917T151500Z,https://www.zerohedge.com/commodities/burning-oil-tanker-successfully-towed-safe-area-amid-urgent-red-sea-salvage-operation,Burning Oil Tanker  Successfully Towed To Safe Area  Amid Urgent Red Sea Salvage Operation,zerohedge.com,United States,2,8,8.0
20240917T161500Z,https://oilprice.com/Geopolitics/Middle-East/Burning-Oil-Tanker-in-Red-Sea-Successfully-Towed-To-Safe-Area.html,Burning Oil Tanker in Red Sea,oilprice.com,United States,2,8,8.0
20240816T231500Z,https://www.hellenicshippingnews.com/grant-agreement-emethanolxwsolution-cinea-european-climate-infrastructure-and-environment-executive-agency/,"Grant agreement â€“ eMETHANOLxWSolution â€“ CINEA â€“ European Climate , Infrastructure and Environment Executive Agency",hellenicshippingnews.com,China,13,8,8.0
20240813T040000Z,https://www.straitstimes.com/asia/ship-captain-reports-incident-southwest-of-yemens-hodeidah-ukmto-says,UK maritime agencies report incidents near Yemen Hodeidah,straitstimes.com,Singapore,2,3,3.0
20240923T110000Z,https://www.straitstimes.com/singapore/singapore-flagged-ship-that-was-boarded-by-fbi-in-baltimore-cleared-to-resume-operation,Singapore - flagged ship that was boarded by FBI in Baltimore cleared to resume operation,straitstimes.com,Singapore,2,10,10.0
20240717T130000Z,https://www.straitstimes.com/asia/philippines-china-to-set-up-new-channels-to-handle-south-china-sea-rows-source-and-document-say,"Philippines , China to set up new channels to handle South China Sea rows , source and document say",straitstimes.com,Singapore,4,12,12.0
20240915T133000Z,https://www.straitstimes.com/asia/philippines-vessel-from-contested-south-china-sea-shoal-returns-to-port,"Philippines sends replacement ship to Sabina Shoal , vows continued presence",straitstimes.com,Singapore,3,12,12.0
20240706T173000Z,https://www.straitstimes.com/asia/china-anchors-monster-ship-in-south-china-sea-philippine-coast-guard-says,China anchors  monster ship  in South China Sea : Philippine Coast Guard,straitstimes.com,Singapore,11,10,10.0
20240827T104500Z,https://www.straitstimes.com/singapore/two-ships-in-transit-in-s-pore-suspected-of-carrying-toxic-waste-cargo-being-sent-back-to-albania,Two ships in transit in Spore suspected of carrying toxic waste ; cargo being sent back to Albania,straitstimes.com,Singapore,10,8,8.0
20240729T053000Z,https://www.straitstimes.com/asia/quad-foreign-ministers-meet-in-tokyo-for-talks-on-maritime-security-cyber,"Quad foreign ministers meet in Tokyo for talks on maritime security , cyber defence",straitstimes.com,Singapore,11,12,12.0
20240720T161500Z,https://www.straitstimes.com/asia/malaysia-coast-guard-says-tanker-involved-in-fire-near-pedra-branca-has-left-site,Malaysia coast guard says tanker involved in fire near Pedra Branca has left site,straitstimes.com,Singapore,10,2,2.0
20240724T200000Z,https://us.cnn.com/2024/07/24/opinions/china-monster-ship-aggression-problem-timme/,Opinion : China  monster  ship is a sign of a much bigger problem,us.cnn.com,United States,11,12,12.0
20240912T020000Z,https://www.straitstimes.com/asia/philippines-says-had-frank-candid-talks-with-china-on-south-china-sea,"Philippines says had  frank , candid  talks with China on South China Sea",straitstimes.com,Singapore,11,12,12.0
20240916T141500Z,https://www.straitstimes.com/asia/se-asia/philippines-in-a-race-against-time-to-stop-potential-china-takeover-of-disputed-shoal,Philippines in race against time to stop potential China takeover of disputed shoal,straitstimes.com,Singapore,11,12,12.0
20240920T060000Z,https://www.straitstimes.com/world/biden-quad-leaders-to-talk-maritime-security-as-china-tensions-grow,"Biden ,  Quad  leaders to talk maritime security as China tensions grow",straitstimes.com,Singapore,11,12,12.0
20240724T054500Z,https://edition.cnn.com/2024/07/23/asia/south-china-sea-deal-explainer-intl-hnk/,China and Philippines already at odds over South China Sea deal to ease Second Thomas Shoal tensions,edition.cnn.com,United States,11,12,12.0
20240901T014500Z,https://www.cnn.com/2024/08/31/asia/china-philippines-collision-south-china-sea-intl-latam/,China and Philippines trade blame over latest vessel collisions in disputed South China Sea,cnn.com,United States,11,2,2.0
20240721T084500Z,https://www.straitstimes.com/singapore/malaysia-coast-guard-locates-oil-tanker-involved-in-collision-off-singapore,Malaysia coast guard detains oil tanker involved in collision off Singapore,straitstimes.com,Singapore,10,2,2.0
20240725T020000Z,https://www.cnn.com/2024/07/24/politics/norad-russian-chinese-bombers-alaska/,NORAD intercepts Russian and Chinese bombers operating together near Alaska in apparent first,cnn.com,United States,11,12,12.0
20240812T043000Z,https://edition.cnn.com/2024/08/11/asia/philippines-china-airforce-flares-intl-hnk/,Philippines condemns China  illegal and reckles actions for dropping flares in the skies above South China Sea,edition.cnn.com,United States,11,12,12.0
20231218T153000Z,https://www.zerohedge.com/geopolitical/bp-halts-all-tanker-sailings-through-red-sea-uk-navy-receives-report-possible,"BP , Â Evergreen , Â Euronav Halt Sailings Through ChaoticÂ Red Sea AsÂ Insurers Demand  War Risk Coverage  ",zerohedge.com,United States,3,12,12.0
20231127T154500Z,https://en.globes.co.il/en/article-as-ships-reroute-cargo-prices-jump-1001463485,"As ships reroute , cargo prices jump",en.globes.co.il,Israel,1,4,4.0
20231010T210000Z,https://gcaptain.com/israel-ports-open-but-at-heightened-risk/,Israel Ports Open But At  Heightened Risk  ,gcaptain.com,United States,4,3,3.0
20231127T063000Z,https://www.manilatimes.net/2023/11/27/world/crew-of-israel-linked-tanker-seized-off-yemen-safe-us-official/1921715,Crew of Israel - linked tanker seized off Yemen  safe  â€“ US official,manilatimes.net,Philippines,2,10,10.0
20231129T191500Z,https://www.tradewindsnews.com/casualties/-numerous-reports-of-suspicious-activity-in-gulf-of-aden-after-houthi-hijack-and-pirate-boarding-says-ukmto/2-1-1562458,"  Numerou reports of suspicious activity in Gulf of Aden after Houthi hijack and pirate boarding , says UKMTO",tradewindsnews.com,China,5,3,3.0
20231011T220000Z,https://www.hellenicshippingnews.com/israels-ports-feel-strain-as-shipping-traffic-slows-after-attacks/,Israel ports feel strain as shipping traffic slows after attacks | Hellenic Shipping News Worldwide,hellenicshippingnews.com,China,3,4,4.0
20231215T204500Z,https://www.telegraph.co.uk/business/2023/12/15/christmas-deliveries-risk-shipping-giant-suspends-red-sea/,Christmas deliveries at risk as shipping giant suspends Red Sea journeys,telegraph.co.uk,United Kingdom,12,4,4.0
20231024T223000Z,https://foreignpolicy.com/2023/10/24/israel-hamas-war-gaza-shipping-imports-food-ports/,"Israel War With Hamas Is Disrupting Shipping , Imports",foreignpolicy.com,United States,12,4,4.0
20231126T181500Z,https://www.zerohedge.com/energy/us-navy-responding-after-militants-seize-israel-linked-oil-tanker-yemen,US Navy Responding After Militants Seize Israel - Linked Oil Tanker Off Yemen,zerohedge.com,United States,10,3,3.0
20231127T021500Z,https://www.singletonargus.com.au/story/8437936/tanker-in-middle-east-safe-after-us-navy-responds/,Tanker in Middle East safe after US Navy responds,singletonargus.com.au,Australia,3,10,10.0
20240101T223000Z,https://www.maritime-executive.com/article/eight-missing-after-new-bunker-vessel-collides-with-chinese-fishing-boat,Eight Missing After New Bunker Vessel Collides with Chinese Fishing Boat,maritime-executive.com,United States,6,2,2.0
20231007T000000Z,https://euromaidanpress.com/2023/10/06/reuters-turkish-cargo-ship-hit-a-mine-en-route-to-ukrainian-black-sea-port/,Reuters : Turkish cargo ship hit a mine en route to Ukrainian Black Sea port,euromaidanpress.com,Ukraine,11,2,2.0
20231016T180000Z,https://www.gmanetwork.com/news/topstories/world/885352/tanker-hits-mine-in-black-sea-sustains-minor-damage-sources/story/,"Tanker hits mine in Black Sea , sustains minor damage sources",gmanetwork.com,Philippines,6,2,2.0
20231005T220000Z,https://gcaptain.com/turkish-cargo-ship-hits-mine-in-black-sea/,Turkish Cargo Ship Hits Mine in Black Sea,gcaptain.com,United States,11,2,2.0
20221116T134500Z,https://www.ibtimes.com/tanker-hit-off-oman-says-israeli-controlled-shipping-firm-3636710,"Tanker Hit Off Oman , Says Israeli - controlled Shipping Firm",ibtimes.com,United States,12,2,2.0
20221122T184500Z,https://www.rigzone.com/news/pacific_zircon_style_incidents_dominated_indian_ocean_narrative_in_2021-22-nov-2022-171126-article/,Pacific Zircon Style Incidents Dominated Indian Ocean Narrative in 2021,rigzone.com,United States,2,9,9.0
20221116T160000Z,https://gcaptain.com/eastern-pacific-shipping-tanker-hit-by-projectile-off-oman/,Eastern Pacific Shipping Tanker Hit By  Projectile  Off Oman,gcaptain.com,United States,12,2,2.0
20221116T200000Z,https://www.aljazeera.com/news/2022/11/16/iran-confirms-release-of-two-seized-greek-tankers,Iran confirms release of two seized Greek tankers,aljazeera.com,United States,5,10,10.0
20221116T154500Z,https://www.al-monitor.com/originals/2022/11/israeli-owned-tanker-hit-drone-oman-coast,Israeli - owned tanker hit by drone off Oman coast,al-monitor.com,Israel,3,2,2.0
20221116T123000Z,https://www.ndtv.com/world-news/tanker-hit-by-projectile-off-oman-coast-says-israeli-owned-shipping-firm-3526144,"Tanker Hit By Projectile Off Oman Coast , Says Israeli - Owned Shipping Firm",ndtv.com,India,12,2,2.0
20211004T091500Z,https://www.cnn.com/travel/article/cargo-ships-sails-michelin-spc-intl/,Giant inflatable sails could make shipping greener,cnn.com,United States,12,8,8.0
20211222T101500Z,https://www.straitstimes.com/business/economy/boeing-airbus-see-more-demand-for-freighter-jets-as-more-cargo-is-moved-by-air,"Boeing , Airbus see more demand for freighter jets as more cargo is moved by air",straitstimes.com,Singapore,7,12,12.0
20211124T140000Z,https://www.straitstimes.com/asia/south-asia/sri-lanka-to-sign-new-container-port-deal-with-china,Sri Lanka to sign new container port deal with China,straitstimes.com,Singapore,11,4,4.0
20211015T061500Z,https://www.straitstimes.com/singapore/politics/fpda-members-mark-golden-jubilee-with-flypast-naval-vessel-display-at-marina,"FPDA nations to mark 50 years with flypast , naval vessel display off Marina South on Oct 18",straitstimes.com,Singapore,12,8,8.0
20211012T023000Z,https://www.cnn.com/2021/10/11/business/maersk-rape-investigation-merchant-marine/,  I was trapped : Shipping giant investigates alleged rape of 19 - year - old during federal training program,cnn.com,United States,7,5,5.0
20211017T164500Z,https://www.straitstimes.com/world/united-states/coast-guard-boards-vessel-that-dragged-anchor-near-pipeline,US Coast Guard boards vessel that dragged anchor near California pipeline,straitstimes.com,Singapore,11,2,2.0
20211130T181500Z,https://www.cnn.com/2021/11/30/business/amazon-walmart-port-pollution/,"Amazon , Walmart and the world biggest retailers are making port congestion and pollution worse , new report finds",cnn.com,United States,4,8,8.0
20211208T211500Z,https://www.cnn.com/2021/12/08/politics/iranian-missiles-and-petroleum-seized-forfeited/,US Navy seized Iranian petroleum products and hundreds of missiles from vessels in Arabian Sea,cnn.com,United States,5,10,10.0
20211214T141500Z,https://www.cnn.com/2021/12/14/americas/haiti-gasoline-tanker-explosion-intl/,At least 54 dead after gas tanker explodes in Haiti second largest city,cnn.com,United States,6,9,9.0
20211107T061500Z,https://www.straitstimes.com/world/at-least-99-killed-in-fuel-tanker-blast-in-sierra-leone-capital,At least 99 killed in fuel tanker blast in Sierra Leone capital,straitstimes.com,Singapore,6,9,9.0
20211013T151500Z,https://www.straitstimes.com/business/vessels-arriving-off-schedule-in-singapore-due-to-congestion-at-other-ports-but-service,"Vessels arriving late in Spore due to congestion at other ports , disrupting global supply chain",straitstimes.com,Singapore,1,4,4.0
20211108T190000Z,https://www.cnn.com/2021/11/08/africa/sierra-leone-tanker-blast-115-dead-intl/,Sierra Leone tanker blast death toll rises to 115,cnn.com,United States,6,2,2.0
20220101T180000Z,https://www.cnn.com/2021/07/31/middleeast/iran-israel-tanker-attack-drone-oman-intl/,Deadly drone attack on tanker escalates Iran - Israel maritime tensions,cnn.com,United States,1,3,3.0
20201205T004500Z,https://www.shippingandfreightresource.com/thousands-of-containers-overboard-in-worst-containership-disaster-one-apus/,Thousands of containers overboard in worst containership disaster - ONE Apus,shippingandfreightresource.com,,9,2,2.0
20201026T110000Z,https://www.heraldscotland.com/news/national-news/18821248.military-assistance-requested-tanker-stowaway-incident/,Military assistance requested over tanker stowaway incident,heraldscotland.com,United Kingdom,2,5,5.0
20201025T093000Z,https://www.siasat.com/russian-oil-tanker-suffers-explosion-3-crew-members-missing-2007312/,"Russian oil tanker suffers explosion , 3 crew members missing",siasat.com,India,6,2,2.0
20201214T133000Z,https://www.timesnownews.com/international/article/explosion-onboard-oil-tanker-in-saudi-arabia-shipping-firm-hafnia-says-vessel-hit-by-external-source/694452,Explosion onboard oil tanker in Saudi Arabia ; shipping firm Hafnia says vessel hit by  external source  ,timesnownews.com,India,12,2,2.0
20201214T063000Z,https://www.marketwatch.com/story/oil-tanker-suffers-explosion-after-being-hit-by-external-source-near-saudi-arabias-port-city-01607926153,Oil tanker suffers explosion after being hit by  external source  near Saudi Arabia port city,marketwatch.com,United States,13,2,2.0
20201214T050000Z,https://www.aninews.in/news/world/asia/explosion-on-ship-in-saudi-aramco-jeddha-port-area20201214091203/,Explosion on ship in Saudi Aramco Jeddha port area,aninews.in,India,6,2,2.0
20201125T174500Z,https://www.upstreamonline.com/safety/possible-mine-blast-hits-greek-oil-tanker-in-saudi-waters/2-1-919332,Possible mine blast hits Greek oil tanker in Saudi waters,upstreamonline.com,United States,11,2,2.0
20201214T063000Z,https://www.foxnews.com/world/explosion-reported-on-oil-tanker-off-saudi-arabia-believed-caused-by-external-source,Explosion reported on oil tanker off Saudi Arabia believed caused by  external source  ,foxnews.com,United States,13,2,2.0
20201214T063000Z,https://www.marketwatch.com/story/oil-tanker-suffers-explosion-after-being-hit-by-external-source-near-saudi-arabias-port-city-01607926153,Oil tanker suffers explosion after being hit by  external source  near Saudi Arabia port city,marketwatch.com,United States,13,2,2.0
20201125T154500Z,https://www.marinelink.com/news/tanker-damaged-mine-saudi-terminal-483481,Tanker Damaged By Mine At Saudi Terminal,marinelink.com,United States,6,2,2.0
20201104T134500Z,https://uk.style.yahoo.com/police-dealing-vessel-incident-amid-145830068.html,Police dealing with vessel incident amid tanker hijacking bid reports,uk.style.yahoo.com,United States,2,3,3.0
20201214T170000Z,https://www.taipeitimes.com/News/world/archives/2020/12/15/2003748767,Explosion rocks Singapore tanker off port in Jeddah,taipeitimes.com,Taiwan,6,2,2.0
20201215T030000Z,https://www.dawn.com/news/1595837/blast-rocks-singapore-flagged-tanker-at-saudi-port,Blast rocks Singapore - flagged tanker at Saudi port - Newspaper,dawn.com,Pakistan,6,2,2.0
20201231T121500Z,https://www.shippingandfreightresource.com/one-apus-container-stack-collapse-update-31st-dec/,ONE Apus â€“ Container stack collapse â€“ Update â€“ 31st Dec,shippingandfreightresource.com,,6,2,2.0
20201211T013000Z,https://in.reuters.com/article/global-shipping-container-idINL1N2IR01L,RPT - Boxed out : China exports pinched by global run on shipping containers,in.reuters.com,United States,12,4,4.0
20221102T083000Z,https://www.straitstimes.com/business/indonesia-plans-to-pump-oil-out-of-supertanker-grounded-near-singapore-gas-pipeline,Indonesia plans to pump oil out of supertanker grounded near Singapore gas pipeline,straitstimes.com,Singapore,10,2,2.0
20221105T081500Z,https://tnp.straitstimes.com/news/business/us-sanctions-owner-supertanker-grounded-near-singapore-over-links-iran-backed,US sanctions owner of supertanker grounded near Singapore over links to Iran - backed Hizbollah,tnp.straitstimes.com,Singapore,11,5,5.0
20221108T051500Z,https://www.straitstimes.com/business/indonesia-us-in-talks-to-refloat-supertanker-grounded-near-gas-pipeline-supplying-s-pore,"Indonesia , US in talks to refloat supertanker grounded near gas pipeline supplying Spore",straitstimes.com,Singapore,10,1,1.0
20221005T094500Z,https://www.straitstimes.com/business/companies-markets/spore-looking-at-expansion-of-lng-and-biofuel-bunkering-operations-in-port,Spore looking at expansion of LNG and biofuel bunkering operations in port,straitstimes.com,Singapore,12,8,8.0
